Timestamp_ms,Payload,Sent_CRC,Remainder
2565115,"{""cmd"":""light"",""warm"":54,""cold"":126}",E722,FFFF
2565215,"{""cmd"":""light"",""warm"":87,""cold"":203}",4F61,FFFF
2565315,"{""cmd"":""light"",""warm"":171,""cold"":399}",115A,FFFF
2565415,"{""cmd"":""light"",""warm"":273,""cold"":637}",2032,FFFF
2565515,"{""cmd"":""light"",""warm"":279,""cold"":651}",B9A8,FFFF
2565625,"{""cmd"":""light"",""warm"":165,""cold"":385}",1DCB,FFFF
2565725,"{""cmd"":""light"",""warm"":42,""cold"":98}",09A0,FFFF
2565875,"{""cmd"":""light"",""warm"":33,""cold"":77}",CBE2,FFFF
2565975,"{""cmd"":""light"",""warm"":141,""cold"":329}",6C08,FFFF
2566075,"{""cmd"":""light"",""warm"":243,""cold"":567}",DDBD,FFFF
2566175,"{""cmd"":""light"",""warm"":228,""cold"":532}",0620,FFFF
2566275,"{""cmd"":""light"",""warm"":111,""cold"":259}",19E8,FFFF
2566385,"{""cmd"":""light"",""warm"":12,""cold"":28}",B99F,FFFF
2566485,"{""cmd"":""light"",""warm"":45,""cold"":105}",E213,FFFF
2566585,"{""cmd"":""light"",""warm"":177,""cold"":413}",8976,FFFF
2566685,"{""cmd"":""light"",""warm"":264,""cold"":616}",CC0A,FFFF
2566785,"{""cmd"":""light"",""warm"":207,""cold"":483}",84C4,FFFF
2566885,"{""cmd"":""light"",""warm"":72,""cold"":168}",6144,FFFF
2566985,"{""cmd"":""light"",""warm"":12,""cold"":28}",B99F,FFFF
2567085,"{""cmd"":""light"",""warm"":108,""cold"":252}",F04A,FFFF
2567185,"{""cmd"":""light"",""warm"":255,""cold"":595}",63E4,FFFF
2567295,"{""cmd"":""light"",""warm"":252,""cold"":588}",E880,FFFF
2567395,"{""cmd"":""light"",""warm"":102,""cold"":238}",2CBD,FFFF
2567495,"{""cmd"":""light"",""warm"":0,""cold"":0}",119B,FFFF
2567595,"{""cmd"":""light"",""warm"":63,""cold"":147}",2118,FFFF
2567695,"{""cmd"":""light"",""warm"":201,""cold"":469}",FF65,FFFF
2567795,"{""cmd"":""light"",""warm"":213,""cold"":497}",01FC,FFFF
2567895,"{""cmd"":""light"",""warm"":84,""cold"":196}",7A7C,FFFF
2567995,"{""cmd"":""light"",""warm"":0,""cold"":0}",119B,FFFF
2568095,"{""cmd"":""light"",""warm"":69,""cold"":161}",6442,FFFF
2568195,"{""cmd"":""light"",""warm"":219,""cold"":511}",F5D3,FFFF
2568295,"{""cmd"":""light"",""warm"":249,""cold"":581}",ED86,FFFF
2568395,"{""cmd"":""light"",""warm"":117,""cold"":273}",1728,FFFF
2568495,"{""cmd"":""light"",""warm"":0,""cold"":0}",119B,FFFF
2568595,"{""cmd"":""light"",""warm"":54,""cold"":126}",E722,FFFF
2568695,"{""cmd"":""light"",""warm"":195,""cold"":455}",95DA,FFFF
2568795,"{""cmd"":""light"",""warm"":222,""cold"":518}",0617,FFFF
2568905,"{""cmd"":""light"",""warm"":75,""cold"":175}",EA20,FFFF
2569005,"{""cmd"":""light"",""warm"":0,""cold"":0}",119B,FFFF
2569105,"{""cmd"":""light"",""warm"":102,""cold"":238}",2CBD,FFFF
2569205,"{""cmd"":""light"",""warm"":237,""cold"":553}",3D82,FFFF
2569305,"{""cmd"":""light"",""warm"":225,""cold"":525}",E313,FFFF
2569405,"{""cmd"":""light"",""warm"":96,""cold"":224}",8694,FFFF
2569505,"{""cmd"":""light"",""warm"":6,""cold"":14}",A37F,FFFF
2569605,"{""cmd"":""light"",""warm"":105,""cold"":245}",1579,FFFF
2569705,"{""cmd"":""light"",""warm"":258,""cold"":602}",B4AA,FFFF
2569815,"{""cmd"":""light"",""warm"":246,""cold"":574}",FF10,FFFF
2569915,"{""cmd"":""light"",""warm"":108,""cold"":252}",F04A,FFFF
2570015,"{""cmd"":""light"",""warm"":9,""cold"":21}",1639,FFFF
2570115,"{""cmd"":""light"",""warm"":84,""cold"":196}",7A7C,FFFF
2570215,"{""cmd"":""light"",""warm"":234,""cold"":546}",3AE2,FFFF
2570315,"{""cmd"":""light"",""warm"":246,""cold"":574}",FF10,FFFF
2570415,"{""cmd"":""light"",""warm"":120,""cold"":280}",29E1,FFFF
2570515,"{""cmd"":""light"",""warm"":24,""cold"":56}",DB9B,FFFF
2570625,"{""cmd"":""light"",""warm"":135,""cold"":315}",059E,FFFF
