Timestamp_ms,Diff_Value
3467685,75
3467685,15
3467685,15
3467685,15
3467695,15
3467695,15
3467705,30
3467705,15
3467805,15
3467805,15
3467805,15
3467805,15
3467815,15
3467815,15
3467825,15
3467825,15
3467835,15
3467835,15
3467845,15
3467845,15
3467855,15
3467855,15
3467865,15
3467875,15
3467875,15
3467885,15
3467885,15
3467895,15
3467895,15
3467905,15
3467905,15
3467915,15
3467935,15
3467935,30
3468035,-15
3468035,-15
3468035,-15
3468035,-15
3468105,-15
3468105,-15
3468105,-30
3468105,-15
3468115,-15
3468115,-30
3468125,-15
3468125,-15
3468135,-30
3468135,-30
3468145,-30
3468145,-15
3468155,-30
3468165,-15
3468165,-30
3468175,-30
3468175,-15
3468185,-30
3468185,-15
3468195,-15
3468195,-15
3468205,-30
3468225,-15
3468225,-15
3468225,-30
3468275,15
3468275,15
3468275,30
3468275,15
3468285,15
3468285,30
3468295,15
3468335,15
3468335,30
3468335,15
3468335,15
3468345,30
3468345,30
3468355,30
3468355,30
3468365,30
3468365,30
3468375,30
3468375,15
3468385,45
3468385,15
3468395,15
3468405,30
3468405,15
3468415,15
3468415,30
3468425,15
3468425,15
3468435,30
3468455,15
3468455,-15
3468535,-15
3468535,-15
3468535,-30
3468535,-15
3468545,-30
3468545,-30
3468555,-15
3468555,-30
3468565,-15
3468565,-15
3468575,-30
3468575,-15
3468585,-30
3468595,-15
3468595,-30
3468605,-30
3468605,-15
3468615,-45
3468615,-15
3468625,-30
3468625,-15
3468635,-15
3468635,-15
3468645,-30
3468655,-15
3468655,-15
3468665,-30
3468685,15
3468685,15
3468685,30
3468685,15
3468695,30
3468695,15
3468705,30
3468705,30
3468715,30
3468715,30
3468725,30
3468725,30
3468735,30
3468735,30
3468745,15
3468845,-15
3468845,-15
3468845,-15
3468845,-30
3468855,-30
3468855,-30
3468865,-15
3468865,-45
3468875,-15
3468875,-30
3468885,-15
3468885,-30
3468895,-30
3468905,-15
3468905,-15
3468915,-30
3468915,-15
3468925,-15
3468925,-30
3468935,-15
3468935,-15
3468945,-30
3468945,-15
3468955,-15
3468965,-15
3468965,-15
3468995,15
3468995,15
3468995,30
3468995,15
3469005,15
3469005,30
3469015,30
3469015,30
3469025,30
3469025,30
3469035,30
3469035,30
3469045,30
3469045,30
3469055,30
3469055,30
3469065,15
3469075,30
3469075,15
3469085,30
3469085,30
3469095,15
3469095,30
3469105,15
3469105,15
3469115,15
3469115,15
3469125,15
3469145,-15
3469145,-15
3469145,-30
3469155,-30
3469155,-30
3469165,-15
3469165,-15
3469175,-30
3469175,-30
3469185,-30
3469195,-15
3469195,-15
3469205,-30
3469205,-15
3469215,-15
3469215,-15
3469225,-15
3469225,-15
3469235,-30
3469245,-15
3469245,-15
3469255,-15
3469255,-30
3469265,-15
3469265,-15
3469275,-15
3469275,-15
3469285,-15
3469285,-15
3469295,-30
3469305,-15
3469305,-15
3469315,-15
3469315,-15
3469365,-15
3469365,-15
3469365,-30
3469365,-15
3469375,-15
3469375,-15
3469385,-15
3469385,-15
3469395,15
3469395,15
3469405,15
3469405,15
3469415,15
3469425,15
3469425,15
3469435,45
3469435,15
3469445,15
3469445,30
3469455,15
3469455,30
3469465,30
3469465,30
3469475,15
3469475,30
3469485,30
3469485,15
3469495,30
3469505,15
3469505,15
3469515,30
3469515,15
3469525,15
3469525,30
3469555,-15
3469555,-15
3469555,-30
3469555,-15
3469565,-30
3469565,-30
3469575,-45
3469575,-30
3469585,-45
3469585,-30
3469595,-30
3469595,-30
3469605,-15
3469615,-15
3469615,-30
3469625,-30
3469625,-15
3469635,-30
3469635,-15
3469645,-15
3469645,-30
3469655,-15
3469655,-15
3469665,-30
3469675,-15
3469675,-15
3469685,-15
3469685,-15
3469715,135
3469715,30
3469725,30
3469725,15
3469735,45
3469735,225
3469835,-15
3469835,-30
3469835,-30
3469835,-15
3469845,-30
3469845,-15
3469855,-30
3469855,-15
3469865,-15
3469865,-30
3469875,-15
3469875,-15
3469885,-30
3469895,-15
3469895,-15
3469905,-15
3469905,-30
3469915,-15
3469915,-15
3469925,-30
3469925,-15
3469935,-15
3469935,-15
3469945,-15
3469955,-15
3469955,-15
3469965,-30
3469995,15
3469995,15
3469995,15
3469995,15
3470005,30
3470005,30
3470015,15
3470015,15
3470025,30
3470025,15
3470035,30
3470035,15
3470045,15
3470045,30
3470055,30
3470065,15
3470065,15
3470075,15
3470075,15
3470085,15
3470085,15
3470095,15
3470095,15
3470105,15
3470105,30
3470115,15
3470115,15
3470125,30
3470125,15
3470135,15
3470145,15
3470145,15
3470175,-15
3470175,-15
3470175,-30
3470175,-15
3470185,-45
3470185,-15
3470195,-30
3470195,-30
3470205,-15
3470205,-30
3470215,-15
3470215,-15
3470225,-30
3470235,-15
3470235,-15
3470245,-30
3470245,-15
3470255,-15
3470255,-15
3470265,-15
3470265,-15
3470275,-15
3470275,-30
3470285,-15
3470295,-15
3470295,-30
3470325,15
3470325,15
3470325,30
3470325,15
3470335,15
3470335,30
3470345,15
3470345,15
3470355,30
3470355,15
3470365,30
3470365,30
3470375,15
3470375,15
3470385,15
3470395,15
3470395,15
3470405,30
3470405,15
3470415,15
3470415,15
3470425,15
3470425,15
3470435,15
3470435,15
3470445,15
3470465,-15
3470465,-15
3470465,-15
3470465,-15
3470475,-15
3470475,-30
3470485,-15
3470485,-15
3470495,-15
3470495,-30
3470505,-15
3470505,-15
3470515,-30
3470525,-15
3470525,-15
3470535,-30
3470535,-15
3470545,-15
3470545,-15
3470555,-15
3470555,-15
3470565,-15
3470565,-30
3470575,-15
3470585,-15
3470585,-15
3470595,-15
3470615,15
3470615,15
3470615,15
3470615,15
3470625,15
3470625,15
3470635,30
3470635,15
3470645,15
3470645,30
3470655,15
3470655,15
3470665,15
3470665,30
3470675,15
3470675,30
3470685,15
3470695,15
3470695,15
3470705,15
3470705,15
3470715,15
3470715,15
3470725,15
